,29.71,⸮9⸮8817.00
-408.94,29.37,7312
-413.49,28.25,7324
-412.43,28.51,7335
-407.99,31.01,7348
-411.03,31.74,7359
-407.43,30.28,7370
-412.10,29.55,7383
-412.00,28.77,7394
-407.58,28.77,7406
-410.30,30.11,7417
-412.28,32.29,7430
-402.73,32.39,7441
-407.52,30.41,7453
-412.79,29.19,7464
-413.04,28.20,7477
-410.12,27.80,7488
-412.17,29.40,7500
-406.84,31.99,7512
-408.38,32.15,7524
-408.89,30.66,7535
-409.48,30.03,7546
-409.86,28.77,7559
-409.94,29.00,7570
-410.76,30.18,7582
-412.00,32.06,7593
-405.16,31.00,7606
-407.60,29.61,7617
-412.30,28.83,7629
-414.27,28.38,7641
-409.86,28.73,7653
-409.94,31.18,7664
-408.27,32.85,7676
-408.95,31.71,7688
-407.72,30.22,7700
-410.18,28.66,7711
-409.80,28.17,7723
-412.27,28.55,7735
-410.53,31.14,7746
-404.50,32.22,7758
-407.05,30.75,7770
-412.83,29.78,7782
-413.53,29.02,7793
-409.15,28.20,7805
-408.06,29.60,7817
-410.13,31.90,7829
-408.32,32.45,7840
-406.69,30.37,7853
-409.04,29.35,7864
-411.14,28.15,7876
-413.54,28.27,7887
-410.96,29.68,7899
-406.83,32.01,7911
-404.31,32.41,7922
-409.63,30.60,7934
-410.59,29.83,7946
-411.15,28.54,7958
-408.98,28.33,7969
-409.04,30.29,7982
-410.84,32.36,7993
-410.82,31.58,8005
-402.39,29.71,8016
-410.34,28.89,8029
-415.62,28.03,8040
-410.67,28.54,8051
-409.12,31.06,8064
-409.22,32.71,8075
-405.09,31.88,8087
-409.73,30.24,8098
-411.63,29.26,8111
-408.94,28.47,8122
-412.50,28.63,8134
-410.32,31.06,8145
-406.64,31.38,8158
-406.26,30.79,8169
-409.90,29.72,8181
-413.19,29.37,8193
-409.71,28.68,8205
-407.48,29.66,8216
-408.46,31.76,8227
-407.51,32.53,8240
-407.64,30.39,8251
-411.14,29.20,8263
-411.28,28.28,8274
-411.65,27.83,8287
-410.55,29.73,8298
-410.58,32.01,8310
-406.19,32.56,8322
-404.64,30.88,8334
-412.89,29.83,8345
-412.34,28.50,8357
-408.33,28.44,8369
-410.91,30.12,8381
-410.31,32.07,8392
-406.65,31.67,8403
-406.51,29.73,8416
-408.25,29.12,8427
-414.33,28.08,8439
-411.70,28.69,8451
-409.08,30.88,8463
-409.74,32.68,8474
-405.34,31.77,8486
-406.36,30.14,8498
-412.68,28.89,8510
-406.96,27.92,8521
-412.55,28.45,8534
-411.68,30.68,8545
-406.64,32.09,8557
-406.66,30.78,8568
-409.65,30.10,8580
-411.05,29.34,8592
-412.68,29.06,8603
-408.22,29.48,8615
-407.95,31.58,8627
-406.80,32.01,8639
-408.88,30.07,8650
-411.39,29.19,8663
-409.97,28.27,8674
-410.68,28.11,8686
-409.88,29.80,8697
-409.66,32.38,8710
-408.16,32.35,8721
-405.16,30.66,8732
-408.49,29.61,8744
-412.92,28.52,8756
-413.43,28.23,8768
-407.94,29.90,8779
-408.15,31.96,8792
-409.69,31.59,8803
-407.36,30.15,8815
-410.24,29.40,8826
-411.00,28.66,8839
-409.66,28.90,8850
-409.67,31.23,8862
-412.00,32.37,8873
-405.79,31.35,8886
-403.87,29.82,8897
-415.24,28.49,8908
-410.32,28.27,8921
-409.54,28.51,8932
-407.44,31.36,8944
-409.01,33.01,8955
-407.10,31.29,8968
-409.95,30.14,8979
-409.88,28.95,8991
-412.18,28.34,9003
-411.27,28.84,9015
-410.29,31.22,9026
-406.78,31.96,9038
-407.10,30.67,9050
-409.70,29.75,9062
-414.01,28.81,9073
-409.91,28.82,9084
-406.85,29.65,9097
-410.56,32.48,9108
-408.15,32.51,9120
-405.03,30.54,9132
-409.53,29.26,9144
-410.94,28.28,9155
-413.07,28.10,9167
-411.74,30.15,9179
-407.42,32.25,9191
-406.94,31.81,9202
-407.61,30.59,9214
-409.95,29.30,9226
-411.16,28.75,9238
-408.93,28.85,9249
-409.79,30.51,9261
-410.73,32.15,9273
-409.88,30.86,9284
-409.92,29.45,9296
-415.06,28.82,9308
-412.27,28.67,9320
-407.76,28.89,9331
-409.64,31.42,9344
-407.64,32.55,9355
-406.96,31.31,9367
-412.84,29.90,9378
-410.00,28.79,9391
-407.87,28.37,9402
-414.81,28.72,9414
-410.31,31.33,9425
-405.42,32.06,9437
-406.17,30.70,9449
-409.80,29.88,9460
-412.67,28.79,9473
-411.84,28.46,9484
-406.30,29.42,9496
-408.82,31.81,9507
-410.59,32.17,9520
-405.09,30.17,9531
-409.23,29.08,9543
-411.77,28.12,9554
-411.59,28.07,9567
-412.27,29.95,9578
-409.51,32.23,9590
-405.70,32.17,9602
-405.55,30.46,9613
-412.11,29.54,9625
-412.12,28.51,9636
-410.23,28.23,9649
-408.78,30.39,9660
-412.81,32.05,9672
-406.02,31.36,9683
-409.45,29.82,9696
-410.51,29.19,9707
-412.14,28.49,9719
-411.58,28.85,9731
-406.74,31.17,9743
-407.12,32.71,9754
-406.13,31.29,9765
-412.60,29.82,9778
-411.19,28.46,9789
-410.38,28.20,9801
-408.00,28.88,9812
-410.97,31.60,9825
-409.38,32.35,9836
-404.68,30.70,9848
-410.16,29.71,9860
-412.54,29.05,9872
-411.06,28.54,9883
-411.34,29.48,9895
-407.87,31.95,9907
-407.49,31.84,9919
-407.92,30.38,9930
-411.43,29.50,9942
-411.39,28.29,9954
-409.91,28.57,9965
-409.75,29.69,9977
-410.92,32.25,9989
-410.02,31.92,10001
-404.88,30.64,10012
-407.32,29.65,10024
-412.40,28.84,10036
-412.46,28.38,10048
-408.81,30.24,10059
-409.40,31.92,10072
-407.89,31.17,10083
-411.20,29.96,10095
-410.10,28.84,10106
-409.44,28.40,10118
-411.26,28.92,10130
-413.36,31.30,10141
-405.86,32.63,10153
-403.74,31.29,10165
-410.03,29.90,10177
-413.35,28.56,10188
-412.91,28.05,10201
-408.81,28.41,10212
-408.17,31.40,10224
-409.53,32.37,10235
-407.82,31.35,10248
-409.66,29.79,10259
-410.42,28.99,10271
-409.52,28.51,10283
-413.18,29.26,10294
-411.27,31.87,10306
-405.19,31.89,10317
-403.56,30.46,10330
-410.24,29.38,10341
-414.94,28.46,10353
