27742.0,145668
-264952.00,927575.0,152837
-264768.00,927645.0,152849
-264679.00,927795.0,152860
-264283.00,928177.0,152872
-264070.00,928311.0,152884
-264680.00,928674.0,152896
-264201.00,928572.0,152907
-264393.00,928317.0,152920
-264041.00,928269.0,152931
-264420.00,927955.0,152943
-265239.00,927813.0,152954
-264463.00,927593.0,152967
-264720.00,927491.0,152978
-264230.00,927606.0,152989
-264006.00,927983.0,153001
-265220.00,928138.0,153013
-264436.00,928232.0,153025
-264076.00,928374.0,153036
-264078.00,928506.0,153049
-264356.00,928416.0,153060
-264704.00,928253.0,153072
-264625.00,927930.0,153083
-265098.00,927450.0,153096
-264876.00,927238.0,153107
-264381.00,927559.0,153119
-264159.00,928206.0,153131
-264361.00,928402.0,153143
-264602.00,928579.0,153154
-264475.00,928446.0,153166
-264460.00,928310.0,153178
-263874.00,928170.0,153190
-264393.00,927707.0,153201
-265440.00,927644.0,153213
-264208.00,927625.0,153225
-264242.00,927856.0,153237
-265179.00,927954.0,153248
-264916.00,928123.0,153261
-264460.00,928404.0,153272
-263633.00,928579.0,153284
-264969.00,928430.0,153295
-265112.00,928205.0,153308
-264106.00,927921.0,153319
-263868.00,927742.0,153331
-264892.00,927691.0,153342
-264743.00,927557.0,153355
-264838.00,927582.0,153366
-264494.00,927669.0,153378
-264252.00,928054.0,153390
-264557.00,928428.0,153402
-264325.00,928556.0,153413
-264461.00,928221.0,153425
-264252.00,928025.0,153437
-264181.00,927881.0,153449
-265197.00,927799.0,153460
-264970.00,927798.0,153473
-263937.00,927639.0,153484
-264502.00,927669.0,153496
-264741.00,927886.0,153507
-264721.00,927852.0,153520
-265146.00,927889.0,153531
-264091.00,928095.0,153543
-263682.00,928362.0,153554
-264701.00,928268.0,153567
-265242.00,928111.0,153578
-264613.00,928065.0,153590
-263839.00,927993.0,153602
-264068.00,928109.0,153614
-264931.00,928077.0,153625
-264997.00,927945.0,153637
-264595.00,927974.0,153649
-264280.00,927971.0,153661
-263767.00,928236.0,153672
-264426.00,928359.0,153684
-263791.00,928349.0,153696
-264140.00,928009.0,153708
-264908.00,927833.0,153719
-264443.00,927866.0,153732
-264590.00,928003.0,153743
-264031.00,928063.0,153755
-264036.00,927938.0,153766
-265142.00,927913.0,153779
-264984.00,927808.0,153790
-264346.00,927879.0,153802
-263821.00,927916.0,153814
-264042.00,927900.0,153826
-265000.00,928113.0,153837
-264504.00,928022.0,153849
-264183.00,927946.0,153861
-264199.00,928128.0,153873
-264699.00,928114.0,153884
-264793.00,927795.0,153896
-264562.00,927689.0,153908
-264109.00,927668.0,153920
-264298.00,927888.0,153931
-265558.00,928045.0,153944
-264528.00,928039.0,153955
-263925.00,927959.0,153967
-264526.00,928045.0,153978
-264186.00,928246.0,153991
-265021.00,928355.0,154002
-264986.00,928205.0,154014
-263677.00,927920.0,154025
-264085.00,927752.0,154038
-264780.00,927858.0,154049
-265158.00,927884.0,154061
-264547.00,927940.0,154073
-264063.00,927924.0,154085
-264551.00,927901.0,154096
-265337.00,927935.0,154108
-264495.00,927921.0,154120
-263750.00,928031.0,154132
-264082.00,927761.0,154143
-265052.00,927626.0,154156
-265071.00,927367.0,154167
-263910.00,927386.0,154179
-264445.00,927424.0,154190
-264770.00,927888.0,154203
-264528.00,928241.0,154214
-265006.00,928030.0,154225
-263850.00,928205.0,154237
-263396.00,928196.0,154249
-264854.00,927930.0,154261
-264991.00,927778.0,154272
-264816.00,927648.0,154285
-264545.00,927554.0,154296
-263877.00,927622.0,154308
-264613.00,928057.0,154319
-265231.00,928374.0,154332
-264149.00,928160.0,154343
-264029.00,928358.0,154355
-264462.00,928290.0,154366
-264286.00,928305.0,154379
-264984.00,928101.0,154390
-264460.00,927966.0,154402
-264339.00,927958.0,154414
-264718.00,927917.0,154426
-264478.00,927860.0,154437
-265025.00,927884.0,154449
-264518.00,928102.0,154461
-264726.00,928445.0,154473
-264564.00,928621.0,154484
-264269.00,928547.0,154497
-264559.00,928257.0,154508
-264069.00,927883.0,154520
-264748.00,927662.0,154531
-265483.00,927372.0,154544
-264567.00,927337.0,154555
-264028.00,927394.0,154567
-264574.00,927813.0,154578
-264654.00,928109.0,154591
-264880.00,928422.0,154602
-264626.00,928432.0,154614
-263260.00,928353.0,154626
-264386.00,928145.0,154638
-265193.00,927819.0,154649
-264328.00,927594.0,154661
-264621.00,927604.0,154673
-264877.00,927578.0,154685
-264699.00,927827.0,154696
-264835.00,927993.0,154708
-264725.00,927906.0,154720
-264215.00,928072.0,154732
-263876.00,928430.0,154743
-264649.00,928514.0,154756
-265043.00,928328.0,154767
-263952.00,927983.0,154779
-264196.00,927434.0,154790
-265351.00,927460.0,154803
-264470.00,927513.0,154814
-264549.00,927746.0,154826
-264893.00,928138.0,154838
-263700.00,928418.0,154850
-264499.00,928592.0,154861
-264092.00,928565.0,154873
-264279.00,928309.0,154885
-264402.00,927954.0,154897
-264826.00,927447.0,154908
-264807.00,927046.0,154920
-264635.00,927375.0,154932
-264858.00,927643.0,154944
-264358.00,927832.0,154955
-264357.00,928058.0,154968
-264319.00,928289.0,154979
-264330.00,928130.0,154991
-264308.00,928211.0,155002
-264303.00,928250.0,155015
-264460.00,927819.0,155026
-264284.00,927614.0,155038
-264468.00,927621.0,155049
-264945.00,927563.0,155062
-264842.00,927501.0,155073
-264539.00,927769.0,155085
-264069.00,928286.0,155097
-264069.00,928591.0,155109
-264570.00,928610.0,155120
-264565.00,928405.0,155132
-264299.00,928261.0,155144
-264196.00,928035.0,155156
-264602.00,927785.0,155167
-264888.00,927796.0,155180
-264760.00,927644.0,155191
-264816.00,927392.0,155203
-264634.00,927809.0,155214
-264260.00,928293.0,155227
-264182.00,928603.0,155238
-264717.00,928756.0,155250
-265154.00,928507.0,155261
-265783.00,928524.0,155274
-262272.00,927774.0,155285
-265071.00,927688.0,155297
-266010.00,927581.0,155309
-262661.00,927457.0,155321
-265702.00,927401.0,155332
-265334.00,927536.0,155344
-263023.00,927784.0,155356
-264682.00,927980.0,155368
-265073.00,928424.0,155379
-263960.00,928497.0,155392
-263740.00,928269.0,155403
-265277.00,928059.0,155415
-265002.00,927812.0,155426
-263934.00,927788.0,155438
-264419.00,927700.0,155450
-265161.00,927483.0,155461
-264161.00,927473.0,155473
-264513.00,927854.0,155485
-265568.00,928393.0,155497
-262599.00,928633.0,155508
-265006.00,928622.0,155521
-266009.00,928304.0,155532
-262079.00,928041.0,155544
-265133.00,927647.0,155555
-265361.00,927291.0,155568
-263972.00,927639.0,155579
-265864.00,927825.0,155591
-264145.00,927918.0,155602
-263429.00,928355.0,155615
-265133.00,928448.0,155626
-264626.00,928414.0,155638
-264325.00,928560.0,155650
-264446.00,928315.0,155662
-265042.00,928008.0,155673
-264831.00,927518.0,155685
-263941.00,927400.0,155697
-264642.00,927520.0,155709
-264592.00,927705.0,155720
-265092.00,927702.0,155732
-264832.00,927831.0,155744
-263309.00,928085.0,155756
-264454.00,928382.0,155767
-264781.00,928600.0,155780
-263819.00,928164.0,155791
-264562.00,927891.0,155803
-264178.00,927446.0,155814
-264540.00,927231.0,155827
-265280.00,927432.0,155838
-264250.00,927671.0,155850
-264638.00,928022.0,155862
-264119.00,928293.0,155874
-264115.00,928339.0,155885
-265033.00,928366.0,155897
-264152.00,928173.0,155909
-264167.00,927976.0,155921
-264865.00,927972.0,155932
-264846.00,927778.0,155944
-264442.00,927635.0,155956
-264957.00,927834.0,155968
-264835.00,927976.0,155979
-263937.00,928347.0,155992
-264495.00,928670.0,156003
-264260.00,928591.0,156015
-264432.00,928334.0,156026
-264185.00,928155.0,156039
-264804.00,927886.0,156050
-264311.00,927711.0,156062
-264932.00,927623.0,156073
-264713.00,927638.0,156086
-264238.00,927836.0,156097
-264893.00,928013.0,156109
-264873.00,928083.0,156121
-263830.00,928319.0,156133
-263422.00,928298.0,156144
-264897.00,928086.0,156156
-264910.00,927925.0,156168
-264402.00,927849.0,156180
-264883.00,927778.0,156191
-263948.00,927820.0,156204
-264266.00,927875.0,156215
-265550.00,927846.0,156227
-264606.00,927780.0,156238
-263981.00,927985.0,156251
-264200.00,928318.0,156262
-264754.00,928378.0,156274
-264873.00,928279.0,156285
-264424.00,927857.0,156298
-264152.00,927623.0,156309
-264017.00,927573.0,156321
-265252.00,927745.0,156333
-265189.00,927904.0,156345
-264023.00,927924.0,156356
-263938.00,928164.0,156368
