495.74,7745
173.61,1495.28,18179
176.46,1495.22,18191
178.80,1495.70,18202
178.48,1497.52,18214
177.10,1496.95,18226
176.77,1496.90,18238
178.60,1495.40,18249
177.14,1493.60,18262
178.01,1492.88,18273
176.47,1492.95,18285
177.86,1495.10,18296
179.45,1495.45,18309
177.97,1497.25,18320
178.67,1496.32,18332
175.83,1496.67,18343
175.81,1495.02,18356
177.09,1496.07,18367
179.09,1496.03,18379
178.52,1496.95,18391
175.41,1496.34,18403
177.89,1495.46,18414
178.54,1493.69,18426
177.02,1493.35,18438
177.36,1493.53,18450
176.93,1495.74,18461
177.48,1495.84,18473
178.68,1497.19,18485
178.53,1496.18,18497
174.05,1497.07,18508
178.22,1495.27,18521
177.85,1495.65,18532
178.46,1495.85,18544
177.92,1495.83,18555
176.49,1495.47,18567
179.71,1494.44,18579
177.71,1494.02,18590
177.48,1493.02,18603
175.78,1493.37,18614
178.31,1495.20,18626
179.26,1496.28,18637
177.38,1497.67,18650
178.90,1496.34,18661
176.74,1496.03,18673
175.66,1495.41,18684
177.94,1495.26,18697
178.94,1495.81,18708
176.95,1495.12,18720
177.08,1495.24,18732
179.26,1493.64,18744
179.83,1493.77,18755
175.38,1491.52,18767
177.52,1492.38,18779
178.00,1494.07,18791
178.97,1495.90,18802
178.32,1496.63,18814
177.02,1496.44,18826
177.68,1495.95,18838
175.43,1494.63,18849
179.54,1494.19,18862
178.10,1495.70,18873
175.93,1495.11,18885
178.01,1495.59,18896
179.15,1493.91,18909
177.17,1494.19,18920
176.01,1492.67,18932
176.33,1493.76,18944
178.74,1495.58,18956
179.39,1496.74,18967
176.90,1497.82,18979
176.32,1497.27,18991
177.82,1497.11,19003
177.55,1495.37,19014
176.54,1494.37,19025
177.60,1494.66,19038
179.24,1495.20,19049
177.01,1495.52,19061
179.59,1494.02,19073
179.49,1493.49,19085
173.20,1493.30,19096
179.03,1493.19,19108
179.14,1495.29,19120
177.39,1496.49,19132
176.77,1497.87,19143
177.80,1497.49,19155
178.75,1497.42,19167
177.09,1494.95,19179
176.20,1493.81,19190
176.45,1494.13,19203
178.93,1495.35,19214
179.38,1495.40,19226
177.88,1495.71,19237
177.35,1494.93,19250
