989625.0,7777
-300955.00,990836.0,13014
-302359.00,990387.0,13026
-300882.00,989686.0,13037
-299273.00,989112.0,13049
-300376.00,988472.0,13061
-301391.00,988265.0,13073
-302797.00,988044.0,13084
-302108.00,988118.0,13096
-299786.00,988478.0,13108
-299698.00,989197.0,13120
-301220.00,989759.0,13131
-301795.00,990456.0,13144
-300088.00,990662.0,13155
-299959.00,990549.0,13167
-300732.00,990299.0,13178
-300603.00,990302.0,13191
-301401.00,990066.0,13202
-301001.00,989612.0,13213
-299744.00,989622.0,13225
-300336.00,989241.0,13238
-302116.00,988893.0,13249
-302038.00,988584.0,13260
-299988.00,988377.0,13273
-300723.00,988421.0,13284
-301632.00,988749.0,13296
-301115.00,989351.0,13307
-301375.00,989627.0,13320
-300589.00,989996.0,13331
-299146.00,990021.0,13343
-300746.00,989630.0,13355
-302618.00,989683.0,13367
-299694.00,989662.0,13378
-299557.00,989756.0,13390
-301486.00,989364.0,13402
-302443.00,989044.0,13414
-300808.00,988931.0,13425
-299540.00,988740.0,13437
-300696.00,989160.0,13449
-302357.00,989410.0,13461
-302271.00,989325.0,13472
-299972.00,989421.0,13485
-299541.00,989577.0,13496
-300578.00,989870.0,13508
-301261.00,990065.0,13519
-301223.00,990202.0,13532
-300406.00,989923.0,13543
-299247.00,989503.0,13555
-300628.00,989060.0,13566
-302396.00,988895.0,13579
-300987.00,989081.0,13590
-300366.00,989312.0,13602
-300977.00,989424.0,13614
-301376.00,989829.0,13626
-302022.00,990363.0,13637
-300070.00,990527.0,13649
-298728.00,990816.0,13661
-300599.00,990720.0,13673
-301314.00,990523.0,13684
-301171.00,990102.0,13697
-300298.00,989890.0,13708
-298969.00,989679.0,13720
-300409.00,989440.0,13731
-302506.00,989171.0,13744
-301177.00,988907.0,13755
-299979.00,988568.0,13767
-300424.00,988762.0,13778
-301039.00,989041.0,13791
-301096.00,989792.0,13802
-299721.00,990223.0,13814
-299823.00,991017.0,13826
-300685.00,991751.0,13838
-301136.00,991636.0,13849
-299758.00,991492.0,13861
-299246.00,990676.0,13873
-300917.00,990100.0,13885
-301247.00,989392.0,13896
-301310.00,988907.0,13908
-300847.00,988753.0,13920
-300170.00,988580.0,13932
-300870.00,988691.0,13943
-302151.00,988577.0,13956
-301392.00,988920.0,13967
-299575.00,989044.0,13979
-300744.00,989337.0,13990
-301704.00,989946.0,14003
-300994.00,990590.0,14014
-300137.00,991177.0,14026
-299474.00,991438.0,14038
-299896.00,991216.0,14049
-301647.00,990451.0,14061
-301822.00,989427.0,14072
-300377.00,988682.0,14085
-300296.00,988421.0,14096
-300856.00,988539.0,14108
-302159.00,988879.0,14119
-302051.00,989219.0,14132
-299909.00,988979.0,14143
-299985.00,988887.0,14155
-301718.00,989017.0,14167
-301292.00,989250.0,14179
-299908.00,989722.0,14190
-299480.00,990362.0,14202
-301793.00,990630.0,14214
-301269.00,990664.0,14226
-299842.00,990254.0,14237
-300054.00,989581.0,14249
-300506.00,989094.0,14261
-302515.00,988757.0,14273
-302891.00,988450.0,14284
-300428.00,988541.0,14297
-299853.00,989020.0,14308
-300486.00,989352.0,14320
-301883.00,989580.0,14331
-302343.00,989495.0,14344
-299997.00,989190.0,14355
-299800.00,989228.0,14367
-301249.00,989595.0,14379
-301316.00,990040.0,14391
-300967.00,990162.0,14402
-299822.00,990201.0,14414
-299365.00,989907.0,14426
-301185.00,989361.0,14438
-302334.00,989020.0,14449
-301130.00,988787.0,14461
-300553.00,988612.0,14473
-300460.00,989100.0,14485
-301500.00,989618.0,14496
-301698.00,989954.0,14509
-300485.00,990114.0,14520
-300217.00,990233.0,14532
-300329.00,990089.0,14543
-300597.00,989735.0,14556
-301527.00,989776.0,14567
-300431.00,990014.0,14579
-300767.00,990098.0,14590
-300884.00,989901.0,14603
-301126.00,989318.0,14614
-300805.00,989093.0,14626
-300748.00,988845.0,14638
-300983.00,989092.0,14650
-301585.00,989408.0,14661
-301198.00,989879.0,14673
-300505.00,990400.0,14685
-300149.00,990849.0,14697
-300318.00,990883.0,14708
-300885.00,990529.0,14721
-300797.00,990360.0,14732
-300536.00,990227.0,14744
-300155.00,989938.0,14755
-300401.00,989827.0,14768
-301692.00,989462.0,14779
-300826.00,989243.0,14791
-300184.00,988943.0,14802
-301426.00,988917.0,14815
-300879.00,989121.0,14826
-300657.00,989219.0,14838
